penalty,C,solver,max_iter,Fold,F1 Score
l2,0.1,lbfgs,100,0,0.7240671936351502
l2,0.1,lbfgs,100,1,0.7190333539225358
l2,0.1,lbfgs,100,2,0.7143804443574435
l2,0.1,lbfgs,100,3,0.7192156020400777
l2,0.1,lbfgs,100,4,0.7171419909651418
l2,0.1,lbfgs,200,0,0.7240671936351502
l2,0.1,lbfgs,200,1,0.7190333539225358
l2,0.1,lbfgs,200,2,0.7143804443574435
l2,0.1,lbfgs,200,3,0.7192156020400777
l2,0.1,lbfgs,200,4,0.7171419909651418
l2,0.1,lbfgs,500,0,0.7240671936351502
l2,0.1,lbfgs,500,1,0.7190333539225358
l2,0.1,lbfgs,500,2,0.7143804443574435
l2,0.1,lbfgs,500,3,0.7192156020400777
l2,0.1,lbfgs,500,4,0.7171419909651418
l2,1.0,lbfgs,100,0,0.7244413161805834
l2,1.0,lbfgs,100,1,0.7210410368622182
l2,1.0,lbfgs,100,2,0.7192767115204719
l2,1.0,lbfgs,100,3,0.7221362009667225
l2,1.0,lbfgs,100,4,0.7183421539079329
l2,1.0,lbfgs,200,0,0.7244413161805834
l2,1.0,lbfgs,200,1,0.7210410368622182
l2,1.0,lbfgs,200,2,0.7192767115204719
l2,1.0,lbfgs,200,3,0.7221362009667225
l2,1.0,lbfgs,200,4,0.7183421539079329
l2,1.0,lbfgs,500,0,0.7244413161805834
l2,1.0,lbfgs,500,1,0.7210410368622182
l2,1.0,lbfgs,500,2,0.7192767115204719
l2,1.0,lbfgs,500,3,0.7221362009667225
l2,1.0,lbfgs,500,4,0.7183421539079329
l2,10.0,lbfgs,100,0,0.7251824212040126
l2,10.0,lbfgs,100,1,0.7212008154243801
l2,10.0,lbfgs,100,2,0.7200084402838312
l2,10.0,lbfgs,100,3,0.7220549684357571
l2,10.0,lbfgs,100,4,0.7192723623344089
l2,10.0,lbfgs,200,0,0.7251824212040126
l2,10.0,lbfgs,200,1,0.7212008154243801
l2,10.0,lbfgs,200,2,0.7200084402838312
l2,10.0,lbfgs,200,3,0.7220549684357571
l2,10.0,lbfgs,200,4,0.7192723623344089
l2,10.0,lbfgs,500,0,0.7251824212040126
l2,10.0,lbfgs,500,1,0.7212008154243801
l2,10.0,lbfgs,500,2,0.7200084402838312
l2,10.0,lbfgs,500,3,0.7220549684357571
l2,10.0,lbfgs,500,4,0.7192723623344089
l2,100.0,lbfgs,100,0,0.7253764505287934
l2,100.0,lbfgs,100,1,0.7210463557719137
l2,100.0,lbfgs,100,2,0.7202011220742053
l2,100.0,lbfgs,100,3,0.7215148698493659
l2,100.0,lbfgs,100,4,0.7193511365348383
l2,100.0,lbfgs,200,0,0.7253764505287934
l2,100.0,lbfgs,200,1,0.7210463557719137
l2,100.0,lbfgs,200,2,0.7202011220742053
l2,100.0,lbfgs,200,3,0.7215148698493659
l2,100.0,lbfgs,200,4,0.7193511365348383
l2,100.0,lbfgs,500,0,0.7253764505287934
l2,100.0,lbfgs,500,1,0.7210463557719137
l2,100.0,lbfgs,500,2,0.7202011220742053
l2,100.0,lbfgs,500,3,0.7215148698493659
l2,100.0,lbfgs,500,4,0.7193511365348383
l2,1000.0,lbfgs,100,0,0.7253764505287934
l2,1000.0,lbfgs,100,1,0.721783380906186
l2,1000.0,lbfgs,100,2,0.7199703806990252
l2,1000.0,lbfgs,100,3,0.7215148698493659
l2,1000.0,lbfgs,100,4,0.719078460127816
l2,1000.0,lbfgs,200,0,0.7253764505287934
l2,1000.0,lbfgs,200,1,0.721783380906186
l2,1000.0,lbfgs,200,2,0.7199703806990252
l2,1000.0,lbfgs,200,3,0.7215148698493659
l2,1000.0,lbfgs,200,4,0.719078460127816
l2,1000.0,lbfgs,500,0,0.7253764505287934
l2,1000.0,lbfgs,500,1,0.721783380906186
l2,1000.0,lbfgs,500,2,0.7199703806990252
l2,1000.0,lbfgs,500,3,0.7215148698493659
l2,1000.0,lbfgs,500,4,0.719078460127816
